animal_id,trial_type,perc_cor,mt,er_mt
dw06,go,0.71641791,0.537632161,0.584463487
dw06,go,0.71641791,0.537632161,0.584463487
dw06,go,0.596899225,0.382949188,0.425280529
dw06,go,0.596899225,0.382949188,0.425280529
dw06,go,0.596899225,0.382949188,0.425280529
dw06,go,0.583333333,0.508041667,0.469927667
dw06,go,0.583333333,0.508041667,0.469927667
dw06,go,0.681681682,0.46663293,0.472144811
dw06,go,0.677018634,0.491756193,0.52785625
dw06,go,0.675213675,0.499713608,0.603601389
dw06,go,0.675213675,0.499713608,0.603601389
dw06,go,0.675213675,0.499713608,0.603601389
dw06,go,0.675213675,0.499713608,0.603601389
dw06,go,0.675213675,0.499713608,0.603601389
dw06,go,0.675213675,0.499713608,0.603601389
dw06,go,0.675213675,0.499713608,0.603601389
dw06,go,0.729411765,0.528913441,0.617731349
dw06,go,0.729411765,0.528913441,0.617731349
dw06,go,0.603550296,0.502200245,0.568456439
dw06,go,0.603550296,0.502200245,0.568456439
dw06,go,0.603550296,0.502200245,0.568456439
dw06,go,0.603550296,0.502200245,0.568456439
dw06,go,0.716463415,0.511579468,0.543510632
dw06,go,0.716463415,0.511579468,0.543510632
dw06,go,0.716463415,0.511579468,0.543510632
dw06,go,0.716463415,0.511579468,0.543510632
dw06,go,0.716463415,0.511579468,0.543510632
dw06,go,0.69,0.435679529,0.458940726
dw06,go,0.658536585,0.746154861,0.913287736
dw06,go,0.658536585,0.746154861,0.913287736
dw06,go,0.695238095,0.509142723,0.512587598
dw06,go,0.778894472,0.407957097,0.471065341
dw06,go,0.778894472,0.407957097,0.471065341
dw06,go,0.778894472,0.407957097,0.471065341
dw06,go,0.778894472,0.407957097,0.471065341
dw06,go,0.809782609,0.449977013,0.487005
dw06,go,0.809782609,0.449977013,0.487005
dw06,go,0.809782609,0.449977013,0.487005
dw06,go,0.809782609,0.449977013,0.487005
dw06,go,0.809782609,0.449977013,0.487005
dw06,go,0.719101124,0.491607617,0.514717
dw06,go,0.719101124,0.491607617,0.514717
dw06,go,0.719101124,0.491607617,0.514717
dw06,go,0.719101124,0.491607617,0.514717
dw06,go,0.719101124,0.491607617,0.514717
dw06,go,0.785440613,0.519930488,0.632533333
dw06,go,0.736111111,0.40731022,0.49566886
dw06,go,0.736111111,0.40731022,0.49566886
dw06,go,0.755952381,0.461007677,0.475686875
dw06,go,0.822429907,0.500096449,0.615013816
dw06,go,0.626666667,0.544706383,0.558652083
dw06,go,0.626666667,0.544706383,0.558652083
dw06,go,0.626666667,0.544706383,0.558652083
dw06,go,0.626666667,0.544706383,0.558652083
dw06,go,0.626666667,0.544706383,0.558652083
dw06,go,0.683823529,0.665886425,0.673276453
dw06,go,0.683823529,0.665886425,0.673276453
dw06,go,0.683823529,0.665886425,0.673276453
dw06,go,0.683823529,0.665886425,0.673276453
dw06,go,0.683823529,0.665886425,0.673276453
dw06,go,0.747863248,0.479357143,0.513876271
dw06,go,0.747863248,0.479357143,0.513876271
dw06,go,0.747863248,0.479357143,0.513876271
dw06,go,0.747863248,0.479357143,0.513876271
dw06,go,0.747863248,0.479357143,0.513876271
dw06,go,0.760162602,0.515022326,0.520797881
dw06,go,0.760162602,0.515022326,0.520797881
dw06,go,0.760162602,0.515022326,0.520797881
dw06,go,0.760162602,0.515022326,0.520797881
dw06,go,0.760162602,0.515022326,0.520797881
dw06,go,0.760162602,0.515022326,0.520797881
dw07,go,0.745689655,0.456595665,0.585069737
dw07,go,0.811764706,0.521388406,0.611761702
dw07,go,0.811764706,0.521388406,0.611761702
dw07,go,0.811764706,0.521388406,0.611761702
dw07,go,0.69858156,0.473044036,0.477794512
dw07,go,0.69858156,0.473044036,0.477794512
dw07,go,0.726153846,0.446624047,0.499766573
dw07,go,0.679245283,0.389180556,0.390403922
dw07,go,0.713043478,0.655616159,0.665699621
